"[how to sort/filter] 
[* = see notes col]
[gray = older info]","is it
aging?",aging mission?,core aging area?,multiple aging diseases?,core aging confs?,"is it
rejuvenation? (y/n)",operating status,"short summary
(intended to be objective, usually from company website, edited for brevity)",clinical stage (& link to pipeline),"pipeline image 
[if not clickable, use clin stage link]",Tx or Dx,"categories 
(map to SENS & hallmarks)","diseases/ indications 
[not comprehensive or canonicalized]",species for final products,clinical trials,targets / pathway / MoAs,modalities,regulatory category,team,geo(s),public?,ticker Y!,"ticker 
f/ G (if diff)",market cap (M),"employees, Y! publics",employees LI,year founded,tot. raised (US$M),$ curr conv rate as of Aug'24,$ curr conv rate (dynamic),raised other curr,pharma partners/ investors,deals $ value (US$M),product names,pubs/ papers,as of (last full row update),date added to list,notes,full overall score,score w/o 4p focus,aging focus score,4-prong focus score (confs wght less),operating status score,pipeline image bonus,clin. stage score,# employees score,total raised / valuation score,Tx > Dx,pharma > supplements / unreg,pubs bonus,Unnamed: 51,check for all 4 no,updated since Jul 2024?
Mitoconix Bio,only neuro,,,,,,defunct?,"drugs for mitochondria health for dementias, 1st by inhibiting pathological mito fission",pre-clinical,,Tx,mitochondria,"HD, PD, AD",humans,,,peptides,pharma,,Israel,no,,,,,1.0,2016,$20,,,,,,,,2024-09-07,2019,*Website not responding as of Jan'20. Almost all employees report having ended employment there summer 2019 according to their LinkedIn profiles.,0.0,0.0,0.5,0.1,0.0,1.0,0.5,0.0,1.9,1.0,1.0,1.0,,0,1
Newomics,maybe,,,,,no,operating,microfluidics platform based on new emitter for improved LC-MS for multi-omics,commercial,,Dx,senescence,"AD, T2D",humans,,,,,,SF,no,,,,,9.0,2011,$16,,,,,,"M3 Emitters, MEA Chip, Senescence Chip",papers,2019-12-25,2019-12-27,"Broader technology platform than aging. But the only specific diagnostics mentioned on about page were all aging related: diabetes, Alzheimer's, & senescent cells tests. Conclusion: include for now but re-evaluate later to see if non-aging is majority of the business.",0.0,0.0,0.1,0.1,1.0,1.0,0.5,1.4,1.7,0.3,0.3,1.2,,0,0
BioMarker Pharmaceuticals,yes,yes,,,,no,defunct?*,aging therapeutics from studying longevity-related gene expression in mice using cDNA microarray chips,pre-commercial,,Tx,,,humans,,,,,,,no,,,,,5.0,,,,,,,,,papers,2024-09-04,2024-08-15,"*Looks defunct: last news from 2015, copyright notice on webpgae is thru 2013, & last publication is 2014.",0.0,0.0,1.0,0.3,0.0,1.0,0.0,1.0,0.0,1.0,0.3,1.2,,0,1
EPITERNA,yes,,,,,,aborted?*,platform to identify drugs and combinations to safely extend healthy lifespan across multiple species,pre-clinical,,Tx,broad platform,,"dogs, cats",,,drugs,veterinary,,Switzerland,no,,,,,7.0,2022,unknown,,,,,,,,2024-10-04,2023-08-02,"*Website not responding as of Oct'24. Was just starting before that, so maybe aborted on on hold.
Spinoff from OcampoLab at the University of Lausanne.",0.0,0.0,1.0,0.1,0.0,1.0,0.5,1.2,0.0,1.0,0.5,1.0,,0,1
Continuum Biosciences,yes,,,,,,defunct*,drugs to improve mitochondria health & metabolism (eg to increase metabolism),pre-clinical,,Tx,"mitochondria, metabolism","NASH, obesity, diabetes",humans,,,drugs,pharma,,,no,,,,,1.0,2017,$0.5,,,,,,,,2024-09-07,2019,*Website gone & no mention on Life Bio's website of this or any other daughter companies as of 2022-06-06. Life seems to have aborted being an umbrella company. Programs may live on inside Life Bio. Not to be confused with Continuum Biosciences Consulting.,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.3,1.0,1.0,1.0,,0,1
Oviva Therapeutics,"only 
female",,,,,,operating,overian / female reproductive health,,,,,,humans,,,,,,,,,,,,4.0,2021,,,,,,,,,2022-06-13,2022-06-13,Cambrian sub-company. Not to be confused with https://oviva.com/,0.0,0.0,0.2,0.1,1.0,1.0,0.0,0.9,0.0,0.3,0.3,1.0,,0,0
Oxitope Inc.,yes,,,,,,defunct?,"mAbs for oxidative damage & chronic inflammation by targeting oxidized lipids, for aging diseases",pre-clinical,,"Tx, Dx",,"CVD, cancer, obesity,
OA, neuroDs, more",humans,,,biologics,pharma,,SD,no,,,,,0.0,2018,,,,,,,,a few peer reviewed,2020-01-10,2019,Website gone as of 5/21/2022. Not to be confused with Oxitope Pharma.,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.2,,0,0
Daphnia Labs,yes,,,,,,defunct,drug discovery platform via in-vivo phenotypic screens of daphnia water fleas w/ video & ML for anti-aging,pre-clinical,,Tx,lifespan screens,,humans,,,,pharma,,SF,no,,,,,0.0,2019,,,,,,,,,2021-05-21,2019,,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,,0,0
"Human Rejuvenation
Biotechnologies",yes,,,,,,defunct,clearance of 7-ketocholesterol (a type of lipofuscin) for atherosclerosis,pre-clinical,,Tx,in-cell aggregates,atherosclerosis,humans,,,,pharma,,"Phoenix, AZ",no,,,,,0.0,2014,,,,,,,,,2020-08-30,2019,"Defunct: The handful of employeees on LinkedIn say their employment here ended. William Adams' (linked in this cell) says ""closure of company"".",0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,,0,0
"Mount Tam ->
Torcept",yes,,,,,,defunct,drug platform for mTOR modulating rapalogs with selective inhibition of mTORC1,pre-clinical,,Tx,metabolism / mTOR,"Lupus, MS, cancer, PD, HD",humans,,,small molecules,pharma,,"Burlington, VT",delisted?,,,,,1.0,2014,,,,,,,,,2020-01-30,2019,"Rebooting as Torcept Tx?: Mt Tam website not responding & seems delisted f/ markets. Richard Marshak's LI page says Torcept current. And SEC form says Mt Tam assets sold to Torcent. See:
https://www.linkedin.com/in/richard-marshak-129a527/ & https://finance.yahoo.com/news/banner-announces-completion-merger-agreement-140000266.html & https://www.streetinsider.com/SEC+Filings/Form+8-K+Mount+TAM+Biotechnologie+For%3A+Nov+13/16156270.html",0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,,0,0
Ship of Theseus,yes,,,,,,defunct?,hematopoeic stem cells for aging and aging diseases,pre-clinical,,Tx,stem cells,,humans,,,cell therapy,pharma,,Philadelphia,no,,,,,1.0,2017,,,,,,,,,2020-01-15,2020-01-15,Domain lost & now for sale as of 5/21/2022. Defunct?,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,,0,0
Eternans,yes,,,,,,defunct?,"senolytics, peptide (see patent)",pre-clinical,,Tx,senescence,,humans,,,,pharma,,UK,no,,,,,0.0,2017,unknown,,,,,,,,2019-08-22,2019,Website not responding as of Jan'21.,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,,0,0
Selphagy Therapeutics,yes,,,,,,defunct as separate co,"drugs to induce autophagy to restore homeostasis, inc. clearing misfolded proteins for neuro diseases",pre-clinical,,Tx,"proteostasis, metabolism?","AD, PD, neuroDs",humans,,,small molecules,pharma,,"Boston, NYC",no,,,,,0.0,2018,,,,,,,,,2019-07-11,2019,May not have ever had its own website. Lifespan.io page describing it now gone & no mention on Life Bio's website of this or any other daughter companies as of 2022-06-06. Life seems to have aborted being an umbrella company. Programs may live on inside Life Bio.,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,,0,0
Boinca Therapeutics (website down),yes,no,yes,no,no,no,defunct*,"rapamycin cream for OTC cosmetics, see here & here",pre-clinical,,Tx,metabolism / mTOR,,humans,,,topical small molecules,cosmetic,,,,,,,,1.0,2017,,,,,,,,,2024-09-01,2024-08-15,*Website not responding as of 2024 & LinkedIn company page gone. Looks like this company started to launch but never got very far.,0.0,0.0,1.0,0.3,0.0,1.0,0.5,0.0,0.0,1.0,0.3,1.0,,0,1
Everon Biosciences,yes,,,,,,defunct?,small molecules & biologics platform based on proprietary aging biomarkers including a frailty index ,pre-clinical,,Tx,,,humans,,,,,,"Buffalo, NY",no,,,,,3.0,2010,,,,,,,,several,2020-08-30,2019,Website throws errors at top & co-founders & C-level folks gone as employees in LinkedIn as of 2022-06-06. News & publications end mid-2017.,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.7,0.0,1.0,0.3,1.2,,0,0
BHB Therapeutics,yes,,,,,no,defunct?*,beta-hydroxybutyrate (BHB),,,Tx,,,humans,,,,,,,no,,,,,0.0,2018,$3.0,,,,,,,,2024-10-18,2024-08-15,*No website of its own & no longer mentioned on Juvenescence's pipeline page.,0.0,0.0,1.0,0.1,0.0,1.0,0.0,0.0,0.9,1.0,0.3,1.0,,0,1
Unify Pharmaceuticals,yes,,,,,,defunct,,pre-clinical,,,,,humans,,,small molecules ,pharma,,,no,,,,,0.0,?,unknown,,,,,,,,2024-02-21,2021-05-04,Website not responding for over a year as of Feb'24 a long time & no posts to its Twitter account for years either.,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,0.3,1.0,1.0,,0,0
Nugenics Research,yes,,,,,,aborted?,"young blood plasma product that reverses epigenetic age & lowers cell senescence in rats (article, blog post)",pre-clinical,,Tx,signals / factors,,humans,,,,,,,no,,,,,0.0,2018,,,,,,,Elixir,bioRxiv preprint,2021-05-13,2021-05-13,Still no website after more than a year. Defunct?,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,0.3,1.2,,0,0
LipidEv (Lipid Evolution Ltd.),yes,,,,,,defunct?,anti-inflammatory lipids (specialized proresolving mediators) that decline w/ age,pre-clinical,,Tx,,various agingDs & inflammatoryDs,humans,,,,,,"Reading, UK",no,,,,,0.0,2014,,,,,,,,related papers,2019-08-02,2019,Website gone as of 5/21/2022.,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,0.3,1.2,,0,0
Iduna (see notes),yes,,,,,,defunct as separate co,reprogramming company partially owned by Life Bio,pre-clinical,,Tx,,,humans,,,,,,,no,,,,,0.0,?,,,,,,,,,2022-06-02,2020-05-04,No mention on Life Bio's website (except old press release) of this or other daughter cos as of 2022-06-06. Life seems to have aborted being an umbrella co. Program seems to live on inside Life. Mentioned as name of Life Bio's reprogramming co in 2022 & disclosures.,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,0.3,1.0,,0,0
Juvicell,yes,,,,,,defunct?,science-backed 10-ingredient longevity supplement,commercial,,Tx,,,humans,,,nutraceuticals,supplement,,,no,,,,,0.0,2020,,,,,,,,,2021-05-12,2021-05-12,"Website still live but product does not seem to be order-able. Also zero employees on LinkedIn company page, and only 2 employees on LinkedIn saying they used to work there, including co-founder whose profile says Juvicell until Aug'21 & now works at FOXO Technologies.",0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,0.3,1.0,,0,0
Cyclone Therapeutics,yes,,,,,,aborted or defunct,protein quality control by modulating translation f/ anti-inflam. 'integrated stress response mimetic' MoA,pre-clinical,,Tx,,,humans,,,,,,SD,no,,,,,1.0,2019,,,,,,,,,2021-05-07,2021-05-07,"Still no website as of 2022-06-01, and also no employees. Not to be confused with Cycle Therapeutics.",0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,0.3,1.0,,0,0
Guided Clarity,yes,,,,,,defunct*? or not aging now,medical food based on a natural ingredient of mother's milk that stimulates mitochondria renewal & thus increases metabolism & reduces chronic inflammation,pre-clinical,,Tx,"mitochondria, metabolism, inflammation",,humans,,,,medical food,,SF,no,,,,,0.0,2018,unknown,,,,,,,,2024-09-13,2019,"*Ended in 2022 based on Helen Chen's LinkedIn page, at which point she started Alixia, or it may be a renaming of this company (gclarity.com redirects to Alixia's homepage). Alixia's website doesn't mention mitochondria or mother's milk & seems too cancer-focused for this site at the moment.",0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,0.3,1.0,,0,1
Eterly,yes,,,,,,defunct?,AI based anti-aging health & fitness monitoring and recs app w/ blockchain coins for incentives,pre-commercial,,recs,app,,humans,,,software/system,unreg app,,"Vancouver, BC",no,,,,,4.0,2016,unknown,,,,,,,,2023-09-02,2019,"Still going? This page says removed from app store and has for over a year as of 2023-09-02, nor is it on Android store. LinkedIn still says 4 employeees & website still live (though still points to app stores).",0.0,0.0,1.0,0.1,0.0,1.0,0.0,0.9,0.0,0.3,0.3,1.0,,0,0
CellAge,yes,,,,,no,defunct?,"develop new, more accurate senescent cell measurement based on synthetic promoters",pre-commercial,,Dx,senescence,,humans,,,,unreg test,,"Glasgow, Scotland",no,,,,,3.0,2016,,,,,,,,,2019-08-02,2019,Website not responding and no LinkedIn employees that are top mangement team as of 2022-06-01.,0.0,0.0,1.0,0.1,0.0,1.0,0.0,0.7,0.0,0.3,0.3,1.0,,0,0
Osiris Green,yes,,,,,no,defunct?,"DTC methylation clock, but probably gone now",commercial,,Dx,"epigenetic, clock",,humans,,,blood test or urine test,unreg test,,"Tampa, FL?",no,,,,,0.0,2016,,,,,,,,,2020-01-06,2019,"Probably out of business: As of July 2019 website wasn't accepting orders. As of Jan 2020, website no longer exists. Founder Copes' LinkedIn page doesn't suggest a newer job yet though.",0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,0.3,0.3,1.0,,0,0
Telomere Diagnostics,no longer,,,,,no,pivoted away from aging,"had telomere test, now sells only Covid tests",commercial,,Dx,telomeres,,humans,,,blood test,unreg test,,SF,no,,,,,3.0,2010,,,,,,,TeloYears,,2020-02-04,2020-02-04,"Sells only Covid tests as of 2022-06-05 (so seems to have pivoted away from aging). Also, website misconfigured and throws up security risk warning.",0.0,0.0,0.1,0.1,0.1,1.0,0.5,0.7,0.0,0.3,0.3,1.0,,0,0
Tracked.bio,yes,,,,,,operating,fully automated phenotyping & identification system for model organisms using deep learning/vision,pre-commercial,,,,,humans,,,,,,"Copenhagen, Denmark",no,,,,,0.0,2019,unknown,,,,,,,,2020-09-02,2020-09-02,"To what extent is this a CRO as well as or instead of a tool maker? Maybe worth reconsidering NemaLife at the same time. If CROs, maybe need to include Ichor's daughter company CRO(s).",0.0,0.0,1.0,0.1,1.0,1.0,0.0,0.0,0.0,0.3,0.3,1.0,,0,0
Rejenevie Therapeutics,yes,,,,,,defunct?,stem cell therapy for immune rejuvenation: autologous cells exposed ex-vivo to young donor cell signals,,,Tx,"stem cells / immune, 
signals / factors",,humans,,,cell therapy,,,Houston,no,,,,,0.0,2012,,,,,,,,related papers,2020-04-29,2020-04-29,"Pipeline claims phase 2 trials in the Bahamas, but as noted in the clinical stage column, their page about their Bahamas clinic operations are suspended due to a (pre-Covid-19) hurricane.",0.0,0.0,1.0,0.1,0.0,1.0,0.0,0.0,0.0,1.0,0.3,1.2,,0,0
Zygo Bio,yes,yes,,,,,starting?,"""Extending healthy human lifespan"", ""coming soon""",,,,,,humans,,,,,,,no,,,,,0.0,,unknown,,,,,,,,2024-09-20,2024-02-14,,0.0,0.0,1.0,0.3,0.3,1.0,0.0,0.0,0.0,0.3,0.3,1.0,,0,1
Longevity Bridge,yes,yes,yes,,yes,no,defunct?*,"biomarkers of aging esp. NAD biomarkers, 1st through patient-funded study",pre-commercial,,Dx,mitochondria / NAD+,,humans,,,blood tests,unreg test,,LA,no,,,,,1.0,2017,,,,,,,,,2024-09-11,2019,*Website contains no info except to note that the patient-funded study has ended.,0.0,0.0,1.0,0.7,0.0,1.0,0.0,0.0,0.0,0.3,0.3,1.0,,0,1
Youthereum Genetics,yes,yes,yes,,yes,yes,defunct*,epigenetic reprogramming,,,Tx,epigenetic,,humans,,,,,Yuri Deigin,,,,,,,0.0,2017,,,,,,,,,2024-09-01,2019,"*Yuri Deigin's epigenetic reprogramming company prior to YouthBio, but YouthBio does not appear to be just a renaming of this one, though both have the same principal & area. This one appears to have been short-lived.",0.0,0.0,1.0,0.7,0.0,1.0,0.0,0.0,0.0,1.0,0.3,1.0,,0,1
Zest,yes,,,,,,starting?,app that coaches you through the latest innovations in longevity science,pre-commercial,,recs,app,,humans,,,software/system,unreg app,,"London, UK",no,,,,,0.0,,,,,,,,,,2022-06-16,2022-06-16,,0.0,0.0,1.0,0.1,0.3,1.0,0.0,0.0,0.0,0.3,0.3,1.0,,0,0
Ambrosia (Plasma),yes,,,,,,defunct,infusions of young blood from donors aged 16-25 for 30+ year-olds for $5500+,,,Tx,signals / factors,,humans,1,,blood transfusion,,,SF,no,,,,,0.0,2016,,,,,,,,,2022-05-13,2019,"(Not to be confused with Ambrosia Bio.) Ambrosia Plasma shut down 2019 then back in early 2020, but now seems gone as of spring 2022.",0.0,0.0,1.0,0.1,0.0,1.0,0.0,0.0,0.0,1.0,0.3,1.0,,0,0
